ID,ScientificName,Dak_Cval,AB_Cval,KS_Cval,IL_Cval,Dispersal_syndrome,Dispersal_unit_type,Leaf_arrangement_type,Leaf_color,Leaf_compoundness,Leaf_phenology,Leaf_phenology_type,Leaf_shape,Photosynthesis_pathway,Plant_growth_form,Plant_growth_rate,Plant_lifespan,Plant_propagation_type,Plant_resprouting_capacity,Plant_tolerance_to_drought,Plant_tolerance_to_fire,Plant_tolerance_to_salt,Plant_tolerance_to_shade,Plant_vegetative_regeneration_capacity,Plant_woodiness,Seed_germination_requirement,Seed_storage_behaviour,LDMC,leafN_drymass,Seed_germ_rate,Seed_mass,SLA_no_petiole_or_rachis,SLA_plus_petiole_and_rachis,Veg_height
96,Asclepias sullivantii,10,,5,7,auto,seed,opposite,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.199585414,29.19325322,87.5,5.593055556,22.8795241,16.90642572,0.963895833
97,Asclepias syriaca,0,,1,,NA,NA,opposite,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.230544188,14.6,NA,1.979615385,16.92982521,20.84907282,0.5075
98,Asclepias verticillata,3,,1,1,NA,NA,whorled,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.206896552,14.74,NA,4.6,9.46969697,NA,0.32
99,Asclepias viridiflora,8,,6,9,multi,seed,opposite,NA,simple,NA,deciduous,multifid,c3,herb,NA,perennial,NA,NA,NA,NA,NA,intolerant,yes,non-woody,NA,orthodox,0.303597,NA,NA,19.791016,NA,11.034,0.978125
103,Astragalus agrestis,6,5,,,NA,NA,alternate,green,compound,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,intolerant,yes,non-woody,no,NA,NA,NA,NA,3.774154589,NA,NA,0.3048
104,Astragalus canadensis,5,,4,7,NA,NA,alternate,green,compound,SpSuF,deciduous,NA,c3,herb,moderate,perennial,NA,no,med,intermediate,none,intolerant,yes,non-woody,no,orthodox,0.275275018,41.11796857,100,1.961556497,18.17606281,15.1241898,0.353021053
105,Astragalus crassicarpus,7,,,8,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,NA,37.85,80,6.311111111,13.58695652,NA,NA
106,Astragalus gracilis,8,,5,,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Astragalus lotiflorus,6,,4,,NA,NA,alternate,NA,compound,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,1.99,8.421052632,NA,NA
109,Astragalus mollissimus,8,,4,,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,100,55.84285714,NA,NA,NA
